name,code,population,total_beds,estimated_available_beds
Alabama,AL,4903185,15278,5500
Alaska,AK,731545,1636,589
Arizona,AZ,7278717,13846,4985
Arkansas,AR,3017804,9517,3426
California,CA,39512223,72511,26104
Colorado,CO,5758736,10574,3807
Connecticut,CT,3565287,7194,2590
Delaware,DE,973764,2101,756
District of Columbia,DC,705749,5060,1619
Florida,FL,21477737,54744,19708
Georgia,GA,10617423,25114,9041
Hawaii,HI,1415872,2749,990
Idaho,ID,1787065,3396,1223
Illinois,IL,12671821,32066,11544
Indiana,IN,6732219,18156,6536
Iowa,IA,3155070,9423,3392
Kansas,KS,2913314,9659,3477
Kentucky,KY,4467673,14329,5158
Louisiana,LA,4648794,15272,5498
Maine,ME,1344212,3400,1224
Montana,MT,6045680,11577,4168
Nebraska,NE,6892503,15649,5634
Nevada,NV,9986857,24949,8982
New Hampshire,NH,5639632,13895,5002
New Jersey,NJ,2976149,12071,4346
New Mexico,NM,6137428,18749,6750
New York,NY,1068778,3542,1275
North Carolina,NC,1934408,6842,2463
North Dakota,ND,3080156,6493,2337
Ohio,OH,1359711,2783,1002
Oklahoma,OK,8882190,20901,7524
Oregon,OR,2096829,3811,1372
Maryland,MD,19453561,51927,18694
Massachusetts,MA,10488084,21549,7758
Michigan,MI,762062,3235,1165
Minnesota,MN,11689100,33157,11937
Mississippi,MS,3956971,11144,4012
Missouri,MO,4217737,6889,2480
Pennsylvania,PA,12801989,36730,13223
Rhode Island,RI,1059361,2187,787
South Carolina,SC,5148714,12120,4363
South Dakota,SD,884659,4183,1506
Tennessee,TN,6829174,19387,6979
Texas,TX,28995881,65671,23642
Utah,UT,3205958,5767,2076
Vermont,VT,623989,1305,470
Virginia,VA,8535519,18065,6503
Washington,WA,7614893,12774,4599
West Virginia,WV,1792147,6868,2472
Wisconsin,WI,5822434,12103,4357
Wyoming,WY,578759,2015,725
